Week,NV,NE,MA,MI,MN,NJ,MO,MT,NH,MS,NM,NY,NC,SC,OH,OK,OR,PA,RI,ND,SD,TN,TX,WY,VA,WV,VT,WI,WA,UT,AL,AK,AZ,CA,GA,DE,CO,CT,FL,AR,LA,IA,HI,ID,IL,KY,ME,MD,KS,IN
2020-02-23,8,8,10,9,15,7,11,9,6,8,8,8,10,8,10,11,11,10,9,7,13,10,9,12,11,9,16,9,9,10,9,0,10,10,11,8,10,10,7,6,11,9,7,8,10,10,9,12,10,10
2020-03-01,8,7,11,10,11,7,12,7,11,8,8,8,8,9,11,10,12,10,7,8,7,9,9,17,9,7,6,12,9,9,11,9,9,10,9,7,8,8,7,6,7,7,6,9,10,11,10,11,14,9
2020-03-08,8,8,8,7,10,6,10,10,16,5,7,7,7,7,7,7,8,8,8,6,4,10,9,9,9,11,19,8,6,9,6,10,8,8,9,5,9,8,6,8,7,6,9,8,7,8,8,11,7,6
2020-03-15,5,9,7,7,8,4,7,0,6,7,7,6,9,7,6,7,8,8,7,10,0,8,6,4,6,2,7,7,6,7,5,7,6,6,6,5,6,6,6,7,4,2,4,2,6,8,8,8,5,5
2020-03-22,6,7,8,7,8,7,8,2,12,7,7,7,7,7,8,8,5,7,5,9,6,8,7,4,7,6,10,7,5,8,5,12,6,7,6,6,6,8,6,7,9,5,8,3,6,9,8,9,2,6
2020-03-29,8,6,7,6,9,7,7,2,9,11,8,7,7,7,8,7,9,8,6,15,12,7,7,12,8,5,7,9,7,6,4,13,8,8,8,8,7,8,6,7,7,6,2,5,8,9,12,9,6,9
2020-04-05,7,6,8,7,9,6,6,5,3,5,4,8,9,6,8,9,9,7,8,6,10,9,8,8,8,8,4,8,9,6,7,9,7,7,7,8,10,7,7,5,7,8,6,5,8,9,9,9,7,8
2020-04-12,5,7,8,8,8,7,8,8,8,4,9,8,8,7,9,9,9,8,9,5,7,8,8,5,9,7,10,7,8,5,7,8,8,7,8,4,8,7,7,10,7,6,4,7,8,6,9,9,9,7
2020-04-19,9,7,8,8,11,7,10,7,6,5,8,8,8,5,8,7,10,9,6,8,12,8,8,7,9,9,9,8,9,7,7,8,8,8,7,9,9,8,7,9,9,7,10,6,9,10,12,8,7,9
2020-04-26,7,4,9,8,10,6,9,11,8,5,12,8,9,6,8,10,10,9,9,7,9,9,9,10,10,9,4,9,9,8,7,6,8,8,8,8,9,9,7,8,7,6,0,5,8,8,8,9,8,8
