Week,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
2020-01-26,81,87,81,67,74,85,81,69,39,69,65,71,83,79,93,75,86,47,68,80,81,82,78,56,75,73,62,79,75,77,67,79,77,80,92,78,89,87,67,73,63,46,77,84,50,74,87,74,92,43
2020-02-02,78,65,79,76,75,75,75,73,39,68,68,62,82,77,73,78,78,46,65,83,80,77,83,58,78,65,67,76,72,77,55,81,74,66,84,67,78,84,77,63,55,48,75,77,50,75,89,64,82,60
2020-02-09,84,44,77,64,82,88,75,66,40,67,81,73,79,82,71,71,65,55,91,89,87,80,78,59,80,65,55,70,72,73,80,81,78,62,84,80,89,76,67,77,68,47,75,78,35,80,83,69,76,45
2020-02-16,79,65,85,73,76,82,81,75,41,66,75,73,82,90,82,76,87,42,73,91,82,85,83,68,87,76,69,82,88,76,64,79,76,74,85,82,93,87,78,66,62,51,83,83,49,78,91,74,90,45
2020-02-23,73,74,80,72,79,78,86,93,40,66,50,77,81,81,92,80,79,46,69,78,82,74,83,61,79,78,75,82,82,73,54,85,74,69,84,78,79,90,71,72,84,49,74,81,55,78,88,72,88,39
2020-03-01,74,73,71,82,73,77,87,65,40,65,58,69,80,78,76,80,80,47,73,85,86,71,81,68,86,78,61,75,85,72,61,83,73,56,83,75,86,88,74,72,70,44,72,70,52,73,84,72,93,76
2020-03-08,72,46,71,66,71,80,74,55,35,62,69,83,77,77,65,77,57,47,57,75,84,66,75,53,78,57,67,68,77,74,51,78,69,72,76,73,79,80,50,61,53,47,69,83,38,66,75,82,74,28
2020-03-15,74,40,68,55,71,73,67,73,37,54,51,54,66,69,83,67,60,48,60,78,79,65,73,54,68,67,55,67,75,73,56,84,66,45,69,75,78,79,55,58,45,42,71,76,57,65,73,53,74,35
2020-03-22,71,53,82,60,77,80,76,69,40,62,63,68,79,76,68,78,68,57,65,81,80,85,68,57,80,52,56,96,81,83,56,90,73,55,79,70,78,85,74,62,53,46,74,93,42,73,76,74,82,41
2020-03-29,75,54,78,59,80,78,85,72,40,64,67,60,84,79,73,74,68,54,63,88,80,85,68,54,75,58,49,88,86,90,64,100,74,71,79,71,77,86,78,58,58,45,74,84,50,69,75,57,79,51
2020-04-05,81,61,74,59,74,75,82,62,39,61,70,66,77,76,64,63,68,50,54,75,79,74,67,65,74,56,61,87,66,76,55,91,72,65,75,79,70,77,65,66,72,41,73,79,33,69,71,56,75,52
2020-04-12,66,32,73,58,71,77,72,71,40,56,65,68,75,66,71,65,63,43,53,81,80,68,62,51,70,69,48,70,75,72,52,83,72,52,67,67,69,76,62,64,52,45,69,76,62,67,70,59,75,46
2020-04-19,74,46,74,67,73,77,74,58,40,62,64,56,76,72,77,68,64,48,65,79,74,72,70,62,70,36,46,78,78,82,67,86,65,51,77,66,72,78,70,71,64,40,74,74,66,69,72,57,83,43
2020-04-26,71,42,84,66,75,71,74,58,38,62,58,65,80,78,69,75,70,53,44,81,78,68,69,65,82,56,62,85,79,74,67,86,73,50,73,77,74,83,64,66,49,46,73,80,52,73,78,57,75,34
2020-05-03,74,34,82,71,74,69,80,51,40,65,67,54,79,82,65,67,64,51,56,77,71,70,65,54,68,64,50,80,62,70,53,80,74,69,78,74,76,79,63,61,65,45,72,74,47,64,77,69,77,63
2020-05-10,65,40,73,60,72,78,72,49,38,59,77,64,74,75,72,76,60,43,55,75,75,71,65,50,78,50,56,77,58,72,75,82,69,60,69,75,85,81,62,63,67,40,73,67,47,66,75,56,78,64
2020-05-17,76,46,80,59,76,73,71,76,42,60,61,48,77,75,79,75,65,49,51,80,73,67,75,53,73,64,52,78,67,66,55,78,67,71,74,80,83,78,60,69,56,46,71,68,39,68,81,67,71,41
2020-05-24,71,64,77,69,76,67,72,59,41,64,67,67,75,73,76,59,62,44,53,73,69,70,62,62,73,71,55,79,50,69,49,76,80,59,67,70,86,77,87,64,63,47,73,72,46,62,78,64,68,46
2020-05-31,67,48,70,60,81,71,72,51,36,58,63,56,68,68,67,75,69,47,69,61,75,69,61,55,71,43,42,71,74,66,57,72,66,37,67,72,73,76,60,70,43,44,66,67,48,63,74,64,67,70
2020-06-07,79,65,75,61,71,78,77,49,41,73,59,79,83,74,64,68,83,47,49,71,80,69,63,63,73,76,59,84,67,72,62,79,72,52,73,73,82,75,59,60,54,45,77,72,44,71,75,57,78,56
2020-06-14,89,50,91,65,81,82,81,63,41,74,60,74,79,79,75,71,68,51,57,81,74,72,76,61,80,72,61,84,81,73,57,79,73,65,82,79,82,85,66,72,66,50,82,80,49,70,84,70,77,23
2020-06-21,82,48,89,67,80,82,71,72,43,75,79,67,80,82,83,87,75,44,75,82,83,71,80,65,91,81,53,85,65,73,73,78,77,52,80,87,79,86,69,77,75,49,82,71,30,75,88,64,78,58
2020-06-28,81,51,91,74,83,83,78,59,41,72,71,74,85,94,75,79,79,47,75,85,86,77,81,55,83,60,59,98,77,74,53,83,81,63,78,78,81,83,68,71,51,46,81,74,48,69,84,80,83,42
2020-07-05,90,55,91,67,76,92,79,70,46,71,79,73,84,84,89,80,77,51,80,82,95,81,70,66,81,74,70,90,71,80,72,83,80,72,80,86,87,93,70,67,55,55,86,80,63,78,87,73,83,49
2020-07-12,75,63,87,65,81,77,79,59,45,70,75,71,86,81,76,87,66,49,60,90,83,71,77,64,80,66,64,90,67,74,73,80,76,62,82,86,87,82,61,68,60,49,87,78,37,75,77,69,88,63
2020-07-19,76,57,85,63,76,86,81,75,46,77,76,71,79,87,70,76,78,53,65,85,85,77,72,65,82,56,56,81,78,72,73,83,80,57,79,85,83,86,67,61,49,49,80,83,62,69,77,75,87,33
2020-07-26,82,54,90,71,77,78,76,87,47,68,79,75,76,85,84,72,68,49,64,81,89,74,73,50,73,77,57,80,66,78,63,80,77,51,87,80,78,85,67,72,54,48,79,74,62,68,74,72,89,42
