Week,NV,NE,MA,MI,MN,NJ,MO,MT,NH,MS,NM,NY,NC,SC,OH,OK,OR,PA,RI,ND,SD,TN,TX,WY,VA,WV,VT,WI,WA,UT,AL,AK,AZ,CA,GA,DE,CO,CT,FL,AR,LA,IA,HI,ID,IL,KY,ME,MD,KS,IN
2020-04-12,57,50,47,49,54,48,50,48,43,57,58,61,51,51,53,45,46,51,47,49,52,50,55,40,59,49,50,54,49,45,50,39,53,52,50,50,48,50,53,60,46,44,48,41,52,56,58,51,49,54
2020-04-19,60,48,56,54,58,58,59,51,47,65,50,61,61,56,61,61,58,63,53,51,69,62,57,46,61,66,68,58,55,51,64,45,60,54,61,56,53,59,59,65,54,58,57,49,59,61,58,60,66,57
2020-04-26,65,52,56,45,58,51,54,50,57,60,63,62,62,57,56,52,60,55,54,59,55,60,59,48,63,58,47,54,54,49,62,43,61,53,59,52,51,57,59,59,53,45,62,52,57,57,60,56,54,50
2020-05-03,65,49,53,44,51,50,53,61,56,56,50,60,59,53,58,58,51,55,45,57,55,59,59,52,58,60,40,55,57,52,59,51,61,52,51,50,57,56,54,55,59,56,54,60,58,60,56,53,60,59
2020-05-10,68,46,54,45,55,53,53,61,55,55,49,63,56,57,55,58,58,55,49,61,60,60,56,67,58,51,69,54,57,56,63,54,57,55,57,48,55,55,54,57,59,43,65,59,56,59,50,58,52,55
2020-05-17,72,52,56,49,55,56,49,55,51,54,51,59,58,54,56,55,60,56,52,50,55,59,60,50,53,58,55,51,62,58,58,60,56,55,58,41,56,55,54,52,61,49,60,56,54,54,42,55,51,55
2020-05-24,62,47,48,46,46,54,46,54,51,55,54,56,56,53,55,60,54,52,42,54,56,59,59,60,55,56,60,54,58,57,59,51,59,54,54,40,57,51,56,49,56,46,58,50,53,56,59,53,47,53
2020-05-31,69,48,49,48,50,48,51,48,57,67,52,60,59,56,57,63,56,56,49,65,58,64,61,51,58,58,56,54,55,56,66,46,60,48,62,47,55,55,62,52,61,41,61,48,53,60,55,52,59,55
2020-06-07,71,57,57,53,58,59,56,56,56,57,55,62,61,58,56,58,62,59,53,68,67,64,63,53,63,61,63,57,60,62,68,67,69,57,61,52,62,58,62,67,65,56,66,56,59,61,65,62,62,56
2020-06-14,72,54,60,59,61,56,62,60,60,58,56,64,62,61,61,62,61,61,61,56,50,71,69,70,73,53,59,63,60,59,76,51,64,62,65,54,59,61,62,66,64,51,68,62,56,58,60,57,66,65
