Week,NV,NE,MA,MI,MN,NJ,MO,MT,NH,MS,NM,NY,NC,SC,OH,OK,OR,PA,RI,ND,SD,TN,TX,WY,VA,WV,VT,WI,WA,UT,AL,AK,AZ,CA,GA,DE,CO,CT,FL,AR,LA,IA,HI,ID,IL,KY,ME,MD,KS,IN
2020-02-16,14,15,18,12,15,17,14,14,14,7,16,17,12,9,12,6,19,13,13,6,9,11,12,14,14,7,18,12,13,14,8,8,13,17,12,13,16,18,12,6,9,9,24,12,13,11,12,12,9,11
2020-02-23,14,8,17,12,14,14,11,5,20,6,9,16,12,9,12,10,14,13,10,6,10,11,11,9,12,8,24,13,12,13,8,12,12,17,12,16,17,16,12,6,9,8,15,12,12,11,21,12,10,9
2020-03-01,14,6,16,11,13,13,10,11,13,6,12,16,13,11,11,6,14,13,14,11,7,11,11,11,11,4,19,13,12,11,10,11,13,16,12,8,18,17,12,6,9,9,14,8,13,9,17,14,7,8
2020-03-08,14,6,17,11,11,13,7,8,15,6,9,15,12,8,11,5,16,11,18,2,9,9,10,8,10,8,11,11,12,13,9,5,11,14,10,17,15,14,11,7,8,9,15,7,11,8,11,11,7,10
2020-03-15,14,8,16,12,14,15,9,11,24,6,12,15,13,10,11,6,16,12,9,4,11,8,10,8,11,5,28,12,12,11,10,7,11,14,12,10,14,18,12,8,9,11,19,7,12,10,14,13,9,9
2020-03-22,17,6,20,11,16,16,10,12,22,9,12,18,13,10,13,9,15,14,15,6,7,9,11,7,12,8,22,13,14,13,7,10,12,18,11,13,16,17,13,8,10,8,20,9,14,11,16,13,10,9
2020-03-29,18,9,20,13,17,17,11,13,18,8,15,19,16,9,13,8,15,14,14,13,9,12,12,11,13,7,31,13,15,10,10,13,15,19,13,13,19,18,13,7,12,11,20,14,14,11,24,16,8,10
2020-04-05,17,9,21,11,14,16,12,12,19,11,17,21,14,11,14,8,20,13,11,11,6,12,13,7,14,14,27,16,14,15,10,11,15,20,14,14,18,17,15,8,13,9,25,12,14,11,16,17,8,11
2020-04-12,14,7,18,12,17,14,12,17,14,3,14,17,12,11,12,10,16,13,14,9,6,10,11,12,14,8,18,14,15,11,9,9,14,17,11,9,16,17,13,8,10,8,18,10,13,9,14,13,11,10
2020-04-19,11,8,17,13,16,17,11,11,22,8,14,17,14,10,13,9,18,12,14,3,9,11,11,6,15,8,21,13,13,10,10,14,14,18,13,9,17,17,13,7,10,9,24,7,13,9,17,15,7,11
2020-04-26,16,7,19,13,16,16,11,7,22,5,13,17,13,9,11,9,16,14,16,4,0,11,12,0,12,4,22,11,14,13,6,9,13,18,12,9,15,17,12,5,11,10,17,11,13,9,21,15,12,9
2020-05-03,14,6,17,13,13,16,10,9,21,8,13,17,11,9,12,10,15,12,11,11,10,9,10,0,13,6,18,15,13,13,8,12,15,17,11,14,16,16,12,5,10,9,15,8,13,9,14,15,9,8
2020-05-10,14,6,19,12,15,14,10,10,17,10,14,16,13,8,12,8,16,13,11,7,14,9,11,10,12,6,20,12,13,12,7,17,13,17,10,18,14,14,13,6,9,8,24,9,13,9,14,13,9,8
2020-05-17,14,10,18,11,16,15,11,10,20,8,14,17,12,8,12,8,18,11,14,14,5,12,11,11,15,8,13,12,14,12,8,13,13,18,11,10,16,15,13,7,11,9,17,10,13,9,20,14,6,9
2020-05-24,13,8,15,11,14,14,10,13,15,5,10,15,12,10,11,9,17,14,13,4,8,10,11,0,13,7,22,10,13,14,7,10,12,15,12,15,15,12,12,5,10,7,12,12,11,10,12,13,7,9
2020-05-31,15,7,16,9,10,14,12,11,14,7,13,15,11,9,12,7,17,9,15,13,8,10,10,13,11,4,10,10,12,13,9,11,14,16,11,7,15,16,11,7,11,9,23,9,11,11,11,11,8,9
2020-06-07,9,10,16,11,12,14,8,10,15,5,16,15,11,9,11,10,17,11,10,0,10,9,10,10,12,6,11,11,11,11,9,9,14,16,14,5,12,16,11,7,12,10,13,9,12,12,14,11,12,8
2020-06-14,15,9,15,9,12,14,8,8,15,7,13,14,13,10,11,8,13,12,12,8,4,10,10,0,11,10,10,11,12,12,7,10,13,16,11,5,14,13,12,4,10,7,16,9,10,6,17,14,7,8
2020-06-21,14,10,15,10,13,12,10,14,14,8,12,14,12,9,12,10,13,12,10,3,8,10,11,0,11,5,18,11,12,13,8,12,13,16,11,11,15,15,13,6,10,9,13,8,11,7,12,10,12,9
2020-06-28,16,7,13,10,13,15,11,10,13,6,14,15,13,8,11,8,14,11,18,9,13,10,12,11,11,7,19,12,12,11,10,12,12,15,10,10,13,13,11,8,9,7,9,13,11,11,17,12,9,9
2020-07-05,13,8,18,11,11,14,10,10,12,7,13,15,12,7,12,7,16,12,15,8,4,10,11,19,10,9,12,10,11,12,9,10,14,15,10,10,15,15,13,7,10,9,14,8,12,8,15,10,7,7
2020-07-12,13,9,16,10,14,13,11,7,14,9,12,15,11,10,12,11,13,11,10,10,4,11,12,11,12,9,10,11,13,14,9,10,12,15,12,0,13,15,12,8,7,9,15,11,11,9,13,10,9,9
2020-07-19,15,7,17,12,12,12,11,10,18,6,10,14,13,14,12,8,17,11,13,8,10,9,11,14,12,8,19,13,13,13,10,0,13,16,12,7,15,17,12,9,10,7,21,9,12,7,18,15,10,10
2020-07-26,17,6,16,10,12,13,11,10,18,5,12,14,12,11,11,8,15,11,12,5,8,9,10,8,12,6,27,11,10,14,7,10,11,16,11,8,18,17,13,8,11,9,16,12,11,8,13,11,9,10
2020-08-02,13,6,15,10,13,14,9,8,13,7,10,14,11,9,13,10,17,10,11,0,11,11,10,13,12,7,13,12,11,12,9,8,13,16,10,10,14,14,12,7,8,7,22,10,11,8,16,14,8,8
2020-08-09,12,7,15,11,12,14,9,7,10,6,11,15,12,12,12,7,14,12,15,11,8,12,12,7,13,6,19,10,13,12,9,8,12,15,12,3,15,10,12,12,9,6,17,12,11,11,14,13,9,10
2020-08-16,14,10,14,10,12,13,10,15,17,8,9,15,11,9,13,6,13,10,13,0,10,11,11,12,12,7,13,12,11,11,5,7,13,15,11,12,14,14,12,8,8,8,19,11,11,11,12,13,9,10
2020-08-23,15,6,14,11,10,12,10,4,12,8,10,15,12,9,10,10,15,11,9,8,10,10,10,9,13,7,22,12,12,9,8,0,13,15,12,9,17,13,11,9,8,5,16,12,11,10,16,16,11,8
2020-08-30,12,5,17,10,11,14,11,6,15,7,11,14,13,9,13,9,12,11,12,6,8,10,11,8,13,10,15,13,13,12,7,12,12,15,13,12,15,15,12,7,10,7,11,9,12,8,18,12,10,10
2020-09-06,14,7,18,9,13,13,9,10,14,12,15,13,11,9,12,9,12,11,20,8,5,10,10,11,12,8,15,13,11,14,9,13,12,15,13,7,14,14,12,6,10,11,11,12,13,8,20,13,10,9
2020-09-13,14,8,18,11,12,14,9,6,18,15,17,15,13,11,10,8,15,12,12,4,6,12,11,0,13,2,13,14,13,12,6,6,14,16,12,11,15,15,12,7,10,7,17,14,11,11,17,13,12,11
2020-09-20,14,10,16,10,13,14,8,14,16,6,17,15,10,8,11,8,17,12,12,3,7,11,11,6,12,6,28,14,12,13,7,14,14,15,11,8,14,15,12,8,12,8,20,7,12,7,18,14,8,8
2020-09-27,14,6,17,10,14,15,11,16,14,8,14,14,10,10,11,9,15,12,11,4,5,12,11,11,13,7,6,15,14,15,10,6,13,15,11,6,14,16,11,7,10,8,13,7,11,11,17,13,8,9
2020-10-04,16,7,19,11,11,13,11,9,22,10,10,15,13,11,12,6,14,11,16,8,8,9,10,13,12,11,35,12,14,12,9,8,14,16,10,11,16,14,13,6,8,9,17,11,11,12,13,14,7,9
2020-10-11,10,7,17,10,12,16,11,14,11,4,11,15,12,8,11,7,14,12,18,7,20,10,11,8,13,6,21,13,11,14,8,0,12,15,12,0,15,16,11,7,9,7,16,12,12,12,16,14,7,11
2020-10-18,13,6,15,9,11,14,10,6,14,6,11,15,12,10,10,9,16,11,10,7,10,10,11,9,11,7,15,10,12,15,6,4,14,14,12,7,16,15,13,8,8,9,6,10,11,9,21,11,9,10
2020-10-25,15,7,17,11,13,12,10,8,18,0,13,15,10,9,10,7,16,11,13,5,7,10,11,7,12,12,6,13,11,12,9,13,12,13,11,6,15,16,11,8,8,7,15,13,10,9,16,16,8,9
