Week,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
2020-05-24,18,11,19,24,21,28,20,21,11,19,16,23,20,21,15,14,22,10,24,21,21,22,16,14,21,25,18,19,11,21,15,21,22,11,21,18,31,19,16,17,20,13,20,25,7,19,25,25,24,29
2020-05-31,18,12,22,14,19,22,23,16,10,17,17,12,17,20,20,19,20,10,16,19,19,16,19,14,18,14,17,25,15,19,17,20,22,18,19,23,21,20,16,14,16,13,19,21,17,16,21,25,22,20
2020-06-07,25,0,23,22,19,26,16,25,10,19,12,14,24,22,14,17,19,12,12,21,23,21,13,14,22,15,17,25,15,18,15,20,18,17,21,18,27,19,18,19,13,13,19,21,8,19,25,17,14,13
2020-06-14,15,0,22,17,20,23,17,23,11,21,9,18,20,22,25,17,20,12,16,22,20,20,18,12,19,22,15,17,12,18,16,21,26,21,20,20,24,19,18,19,7,13,22,25,13,19,23,17,15,23
2020-06-21,22,6,26,15,21,27,21,11,11,21,26,20,24,22,19,22,16,12,20,22,20,20,13,22,25,11,19,20,22,19,13,22,22,12,20,24,20,22,18,16,19,11,21,25,25,18,26,15,23,0
2020-06-28,22,22,23,18,22,23,19,20,11,20,15,21,19,25,11,17,17,12,26,17,22,18,18,16,25,18,14,30,14,19,14,22,22,33,25,22,23,24,17,18,0,16,21,21,16,20,26,23,22,14
2020-07-05,21,14,17,24,19,22,19,21,11,18,16,21,22,23,16,26,27,9,12,19,23,19,21,16,21,15,10,17,17,19,17,20,22,15,22,20,22,20,19,19,6,14,20,19,9,18,25,12,23,21
2020-07-12,20,19,22,15,20,34,19,20,11,18,18,20,21,21,14,25,17,9,11,20,19,19,16,13,21,15,20,24,12,20,14,19,20,11,21,19,31,21,21,18,13,12,21,15,31,17,26,18,23,11
2020-07-19,18,10,24,19,20,27,15,20,12,19,20,24,21,27,23,14,21,14,11,24,25,18,17,15,19,20,16,24,20,18,21,21,23,11,22,20,28,23,10,14,14,14,19,28,12,20,23,22,19,6
2020-07-26,22,31,21,10,20,23,18,10,11,19,18,21,18,21,20,18,20,5,21,21,19,17,17,15,19,17,21,20,17,18,16,21,20,22,24,19,21,22,12,17,28,12,19,20,34,19,23,15,22,20
2020-08-02,21,18,25,20,19,27,19,17,12,18,17,18,20,23,20,18,20,11,13,16,20,17,16,14,18,28,13,25,19,21,14,20,22,15,21,20,21,21,19,19,14,13,19,23,22,20,22,14,21,8
2020-08-09,16,12,21,21,20,27,21,8,10,19,13,14,22,25,10,18,20,11,14,22,21,20,17,13,21,25,17,25,22,18,18,20,19,9,19,18,28,17,19,24,9,13,19,21,21,22,21,16,20,0
2020-08-16,29,9,24,17,19,28,22,17,10,21,30,21,20,21,22,23,18,12,18,18,21,20,17,16,22,16,8,20,21,20,16,20,23,21,21,21,26,21,12,19,23,15,19,17,0,20,22,17,23,9
2020-08-23,24,0,21,16,19,27,17,17,10,14,17,16,17,17,21,18,21,8,13,17,18,18,16,16,21,26,13,22,20,19,16,19,22,18,18,21,27,20,11,25,8,15,18,19,17,18,22,19,20,7
2020-08-30,20,16,21,21,19,26,20,10,10,18,18,20,19,20,19,19,15,10,19,19,16,21,17,19,18,18,18,25,12,19,20,18,23,20,20,12,22,20,10,18,12,12,19,25,16,20,20,16,21,12
2020-09-06,24,10,23,18,20,29,24,17,11,17,19,20,21,25,19,22,20,12,18,20,19,20,20,25,21,27,14,18,16,17,14,20,22,14,23,19,23,21,11,20,22,13,18,24,0,23,23,23,17,0
2020-09-13,21,14,24,19,19,21,17,0,10,19,19,26,19,22,25,18,23,11,12,18,20,19,17,15,19,19,19,20,25,19,19,20,26,46,22,21,25,20,17,20,16,13,20,24,17,18,23,16,17,11
2020-09-20,20,13,22,18,18,25,14,14,11,18,28,28,18,25,23,12,22,9,18,17,21,17,17,13,23,18,14,23,17,17,20,21,31,18,20,19,20,20,16,16,15,12,21,23,14,18,21,21,17,24
2020-09-27,18,35,18,19,19,24,19,21,11,17,22,15,19,23,14,19,18,11,19,20,19,19,17,12,18,10,9,19,18,18,11,18,31,12,21,18,26,21,14,18,9,10,18,23,17,20,22,19,16,21
2020-10-04,19,0,23,16,19,22,17,11,10,16,15,14,19,15,17,23,18,11,19,17,20,20,22,9,19,23,13,16,19,16,11,18,39,8,23,27,24,21,14,14,7,14,19,23,42,22,23,16,14,15
2020-10-11,18,13,17,17,19,20,17,18,12,18,9,30,20,18,25,20,19,11,30,21,19,19,14,12,20,19,12,26,9,17,26,20,39,12,20,25,20,22,15,21,15,13,19,21,15,18,22,13,22,31
2020-10-18,18,0,22,22,20,24,18,21,10,20,18,17,19,21,18,9,17,11,15,19,23,21,19,13,25,9,14,20,17,17,15,20,41,16,21,27,23,20,14,20,10,13,19,18,0,19,22,29,20,0
2020-10-25,19,11,23,19,21,23,16,15,10,19,18,14,20,23,25,22,18,11,5,21,17,20,19,15,23,23,11,20,18,20,18,21,42,25,20,17,22,21,25,20,23,13,21,20,9,19,24,25,22,13
2020-11-01,16,12,20,18,17,18,17,9,9,12,21,20,19,14,17,19,13,8,15,14,16,17,18,10,20,13,11,16,11,15,15,16,23,12,19,19,21,15,13,14,19,11,16,17,12,17,21,16,17,27
2020-11-08,22,10,18,24,18,25,22,19,9,18,23,10,21,18,21,13,18,10,15,21,19,16,19,16,19,11,14,17,18,16,24,17,21,17,21,19,21,20,25,22,18,11,19,20,17,20,21,17,19,21
2020-11-15,21,22,21,24,22,23,13,25,10,19,22,22,20,21,18,15,14,7,29,16,20,16,21,16,20,11,17,27,11,17,17,20,21,27,20,21,23,22,23,26,13,12,20,18,16,20,28,20,19,13
2020-11-22,13,25,20,9,17,25,18,0,10,18,19,7,16,21,19,19,18,11,27,15,17,23,15,12,15,15,16,21,17,16,13,18,19,15,18,10,19,17,13,16,7,13,16,20,16,17,21,29,16,25
2020-11-29,19,11,20,15,18,25,18,26,11,17,21,22,20,19,12,12,15,10,23,13,17,18,15,13,20,10,10,22,14,18,19,17,20,11,17,20,18,16,19,18,14,10,17,21,10,20,20,20,19,0
2020-12-06,20,16,19,24,18,20,14,22,10,18,28,20,20,19,15,14,14,9,22,15,17,17,17,13,21,7,13,25,10,15,14,21,20,10,19,24,24,22,6,16,13,14,19,19,9,16,21,12,19,17
2020-12-13,17,0,19,13,19,22,19,16,9,15,21,13,18,18,17,17,20,13,17,14,21,18,13,15,15,15,14,19,18,19,14,18,18,0,18,15,22,16,15,14,13,11,18,25,9,18,19,30,18,0
2020-12-20,15,11,17,15,16,18,13,19,9,16,13,18,19,17,16,19,11,11,15,16,15,19,17,12,17,16,8,21,16,18,17,15,18,17,18,25,17,17,10,14,8,8,16,17,10,16,17,15,19,28
2020-12-27,21,26,19,15,17,24,18,21,8,17,12,17,17,18,20,18,19,10,14,16,16,18,15,12,17,19,15,14,22,19,8,18,15,15,17,19,17,17,20,14,0,12,17,20,11,19,23,12,13,18
2021-01-03,17,17,19,17,19,22,14,9,10,18,30,15,19,15,13,16,20,10,17,19,20,18,18,13,20,28,12,15,20,17,13,19,19,14,22,18,20,21,24,11,14,10,18,17,6,18,20,21,18,0
2021-01-10,18,21,21,17,23,25,23,22,11,21,15,15,24,18,21,26,24,15,21,28,24,22,22,17,20,16,16,25,18,18,25,20,24,31,24,21,28,24,21,17,0,12,20,24,17,25,26,22,18,14
2021-01-17,21,9,15,17,18,22,17,15,9,17,11,14,17,20,22,18,21,11,13,19,17,17,20,12,16,19,15,21,11,21,10,18,21,25,20,21,22,19,13,14,12,11,17,16,13,14,25,17,22,42
2021-01-24,21,6,19,17,18,22,18,15,10,18,15,20,19,17,19,20,19,12,5,19,17,19,18,16,17,15,12,17,22,17,10,19,18,15,18,24,18,19,15,20,0,13,18,22,8,18,21,20,19,7
2021-01-31,25,32,21,17,20,22,14,15,9,20,12,15,19,23,22,18,18,12,18,19,21,17,18,19,20,19,20,20,14,19,12,16,23,18,20,18,23,20,13,15,20,13,19,19,12,19,24,20,20,10
2021-02-07,23,10,19,18,18,20,17,20,9,19,37,16,18,20,18,18,13,11,22,19,18,15,17,12,17,23,12,21,8,18,12,18,20,5,21,15,21,18,12,14,0,11,18,20,0,19,24,20,11,0
2021-02-14,25,12,22,12,17,27,19,10,10,16,16,34,20,21,17,27,18,9,8,20,21,19,15,13,20,16,9,18,22,17,13,19,20,0,20,13,22,19,8,16,24,11,13,20,20,15,22,20,22,9
2021-02-21,21,36,20,15,17,24,17,4,10,20,14,14,21,20,17,19,14,11,18,19,21,16,20,18,20,9,15,18,15,18,18,19,17,25,19,18,24,19,18,13,0,13,18,15,7,21,21,14,21,14
2021-02-28,23,17,20,23,19,26,20,21,10,17,21,22,19,15,14,16,20,8,12,20,24,20,15,18,20,22,16,17,25,18,12,16,19,10,19,21,22,19,14,17,12,11,21,22,25,18,19,14,23,19
2021-03-07,23,21,15,22,19,20,16,14,9,18,24,31,18,20,23,24,18,13,17,17,21,19,17,17,17,20,13,24,13,18,8,17,17,30,23,25,21,19,18,15,9,13,18,19,6,20,20,27,19,19
2021-03-14,16,0,17,15,18,24,16,20,9,16,13,6,19,20,16,21,17,9,14,21,16,18,19,9,17,21,10,16,19,16,23,17,18,12,19,13,24,18,4,18,18,11,18,16,19,20,24,14,21,10
2021-03-21,19,8,16,11,18,22,21,7,9,14,13,26,17,21,18,17,12,12,16,20,21,17,16,9,19,15,15,22,12,17,13,19,20,12,18,19,20,20,14,14,17,9,17,19,5,17,16,13,19,7
2021-03-28,18,24,18,14,18,21,14,15,10,17,9,20,19,21,17,15,20,11,21,21,23,16,14,15,17,22,16,19,19,16,13,17,23,16,22,17,21,20,14,16,12,11,20,18,17,20,21,20,21,15
2021-04-04,27,0,18,15,18,27,16,15,10,17,28,21,21,17,16,16,18,10,7,16,20,22,17,9,22,11,13,17,30,15,18,18,19,7,23,26,25,22,16,15,7,11,19,24,5,22,18,21,19,18
