Week,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
2019-12-22,37,26,31,23,31,34,37,16,18,27,27,22,35,31,39,33,22,19,25,42,31,34,30,24,32,27,33,27,44,39,26,40,34,31,34,29,30,35,33,25,36,22,30,32,28,32,38,31,33,20
2019-12-29,34,29,33,36,32,25,35,32,16,28,33,18,32,36,25,26,27,18,18,38,44,32,32,30,33,21,27,30,29,47,22,39,37,24,40,37,38,40,27,32,21,19,32,40,51,35,37,30,38,19
2020-01-05,46,14,46,35,41,39,47,38,22,41,36,51,47,51,46,42,43,25,31,40,48,47,42,43,44,54,29,37,46,50,27,49,45,32,45,39,45,48,43,42,35,26,45,46,20,43,44,40,53,22
2020-01-12,51,27,51,36,45,41,63,41,26,43,48,34,46,49,43,41,44,27,34,48,53,49,46,40,45,28,25,39,46,56,37,49,48,47,48,42,46,54,31,39,30,27,43,38,43,45,46,34,49,20
2020-01-19,47,54,53,44,46,51,51,52,23,43,43,43,46,55,58,49,45,24,29,47,56,52,45,31,50,36,32,43,30,55,37,47,48,30,49,43,52,51,39,46,33,28,46,45,28,50,56,51,51,32
2020-01-26,54,33,54,48,50,52,54,48,24,45,46,37,54,61,69,52,40,28,43,52,50,48,51,40,50,60,33,48,41,57,47,46,51,35,50,43,52,52,54,44,38,30,49,54,34,48,51,53,55,53
2020-02-02,50,39,54,46,50,51,59,44,26,40,42,41,51,60,60,51,44,27,43,53,57,55,55,46,50,27,49,54,46,56,50,52,50,35,56,52,47,52,33,48,48,28,48,46,38,48,55,28,55,29
2020-02-09,50,41,51,43,51,57,68,54,27,43,46,52,51,54,62,51,40,30,48,60,56,55,45,44,56,63,37,54,52,57,42,54,57,52,50,52,58,57,41,50,51,31,52,43,38,52,60,43,57,26
2020-02-16,57,44,58,52,54,53,58,44,27,38,42,48,56,58,60,56,44,35,38,59,55,55,49,35,54,40,30,51,59,54,46,52,51,41,50,58,52,58,48,49,45,33,52,53,38,48,51,38,66,26
2020-02-23,54,37,51,42,56,55,70,40,29,42,60,56,52,61,67,58,47,26,38,61,57,51,55,34,54,61,23,55,38,61,44,56,56,54,53,48,53,60,52,54,38,36,53,52,42,52,55,50,67,46
2020-03-01,51,32,56,46,55,57,57,35,25,43,65,36,51,59,59,51,44,36,39,63,60,50,49,47,55,36,37,49,47,60,43,59,51,43,55,54,52,54,42,45,44,28,51,43,29,51,56,52,51,33
2020-03-08,54,23,39,38,49,46,54,41,24,39,59,48,47,49,53,45,38,26,37,52,52,48,42,30,41,40,31,43,45,52,34,53,50,30,49,39,57,44,31,44,39,29,42,41,26,48,57,46,54,37
2020-03-15,40,25,41,41,46,44,50,33,22,38,36,40,44,49,33,39,38,25,32,41,44,45,40,31,37,28,32,36,43,50,32,48,44,44,43,41,50,44,29,45,25,24,37,40,24,42,42,39,51,19
2020-03-22,44,30,49,26,52,46,56,23,25,43,44,42,46,50,58,38,42,31,36,47,51,51,43,41,49,32,32,48,46,58,32,58,51,27,45,43,43,51,56,43,54,27,45,46,13,55,45,41,51,20
2020-03-29,47,38,52,39,49,50,50,40,29,43,58,46,51,49,44,44,40,32,44,56,57,47,52,35,49,40,44,47,44,60,34,55,51,34,50,43,42,53,51,40,68,26,50,46,39,46,45,47,47,62
2020-04-05,47,49,45,52,48,55,59,48,26,41,40,37,50,48,38,48,41,26,38,56,51,45,51,45,45,43,40,45,46,55,38,55,48,28,45,45,46,48,45,42,41,27,51,50,24,46,43,46,50,47
2020-04-12,43,32,52,37,48,48,51,48,29,41,56,40,50,50,37,42,43,24,49,55,55,44,53,37,43,42,37,46,42,47,49,51,45,29,46,46,47,48,46,45,47,26,50,45,51,44,43,36,50,17
2020-04-19,45,41,53,37,54,55,52,49,27,43,47,31,52,52,53,44,44,34,34,51,50,46,52,38,43,36,36,34,41,54,43,51,53,41,48,48,59,49,43,41,35,28,50,47,37,49,55,38,55,37
2020-04-26,42,53,51,35,54,51,52,42,27,43,58,44,51,49,50,51,38,28,39,62,55,45,48,38,50,40,31,43,43,57,43,54,48,30,39,50,49,49,34,47,49,27,48,44,37,49,50,39,52,32
2020-05-03,40,33,55,39,53,45,54,36,24,41,46,33,47,42,44,42,36,28,28,56,45,38,48,35,42,31,40,45,35,53,40,53,50,44,45,45,55,52,38,39,29,28,48,47,21,49,54,37,49,34
2020-05-10,39,13,48,28,52,48,46,40,24,35,44,34,42,50,42,46,28,24,29,56,48,39,45,27,47,39,29,47,44,52,38,50,44,30,44,35,52,46,39,37,49,25,44,43,15,42,51,39,50,51
2020-05-17,41,26,42,30,47,40,42,33,26,36,42,37,43,43,39,37,36,26,44,50,41,38,43,32,33,32,31,40,42,42,31,48,41,41,42,39,53,45,27,40,27,23,41,41,28,40,49,29,48,34
2020-05-24,43,44,44,25,45,38,37,27,21,32,40,33,37,38,28,34,34,22,35,42,40,37,35,27,37,27,30,34,29,43,24,45,43,19,38,27,49,40,34,35,29,25,39,30,20,42,47,39,43,32
2020-05-31,43,44,41,30,46,44,50,31,24,37,38,26,39,37,40,32,36,29,37,47,46,39,36,31,47,33,28,43,44,45,34,47,45,27,42,38,48,40,32,39,30,27,41,36,13,38,49,25,42,31
2020-06-07,50,40,45,45,46,42,37,33,26,40,45,35,42,42,33,39,41,27,45,42,47,39,36,32,45,30,31,46,33,45,34,49,42,30,42,43,49,44,29,42,31,27,41,42,15,42,48,31,39,24
2020-06-14,48,31,44,33,47,45,48,30,25,44,35,39,41,42,40,31,38,32,25,44,44,38,42,38,39,33,33,38,26,45,34,46,44,29,42,38,42,41,30,40,27,25,49,38,22,42,47,25,41,23
2020-06-21,47,19,49,38,50,43,43,46,27,43,53,33,43,55,45,41,35,28,35,52,53,43,40,37,45,45,33,49,44,44,35,50,45,33,48,48,40,45,29,45,44,29,46,41,29,45,44,36,48,9
2020-06-28,41,22,42,26,46,42,44,27,22,37,29,35,45,45,38,41,36,24,37,46,44,40,40,28,46,22,40,45,35,45,29,42,40,20,41,37,37,41,27,36,33,23,43,35,20,47,39,32,48,38
2020-07-05,44,23,43,37,45,42,46,41,24,39,52,24,42,47,34,40,36,28,33,46,45,41,35,33,49,33,31,46,30,44,39,46,40,28,44,46,37,45,30,35,27,28,44,49,12,42,39,33,47,13
2020-07-12,52,44,44,39,45,42,46,28,25,41,36,33,44,48,38,51,40,27,30,46,54,43,34,23,41,32,33,45,31,45,34,49,46,20,44,51,50,42,28,43,18,25,45,45,29,45,47,30,40,19
2020-07-19,46,28,45,32,45,47,45,35,24,38,46,25,43,51,40,42,37,28,40,52,50,41,34,26,43,27,32,48,41,46,34,48,42,34,45,46,41,46,37,34,36,28,44,47,18,44,44,39,44,32
2020-07-26,44,32,49,28,47,42,41,41,26,38,51,33,44,47,38,37,35,30,29,51,40,38,33,27,38,30,23,45,33,41,34,43,43,36,42,46,48,44,25,38,13,30,43,40,16,43,37,41,45,15
2020-08-02,42,0,46,36,44,43,33,30,24,40,47,34,42,42,41,40,39,31,39,48,48,39,37,33,44,35,25,42,38,44,46,47,45,17,44,40,39,43,30,47,49,25,44,36,24,43,44,37,43,30
2020-08-09,45,22,48,33,46,37,37,33,22,38,28,49,39,45,34,38,34,29,37,46,45,39,36,33,43,14,36,38,29,44,34,49,42,29,45,30,44,46,29,41,26,31,44,41,18,43,45,41,42,40
2020-08-16,45,0,49,33,44,40,45,34,23,42,62,25,46,52,47,41,41,31,32,49,44,41,37,35,43,42,40,38,58,45,33,46,48,12,47,42,42,45,29,44,26,31,46,42,23,46,43,46,40,22
2020-08-23,58,30,56,42,50,46,44,36,27,46,45,50,48,53,55,48,42,28,40,45,45,40,43,42,52,38,41,44,34,45,46,48,55,41,43,45,50,47,41,48,32,30,49,39,30,45,42,33,45,33
2020-08-30,53,26,53,40,52,54,50,29,28,48,57,34,52,58,51,59,40,31,39,54,47,47,43,42,47,28,40,48,44,51,46,48,59,20,53,45,38,50,43,46,43,33,49,50,35,50,47,56,44,19
2020-09-06,56,46,50,58,50,49,47,43,28,49,47,48,52,62,59,52,47,29,30,56,49,46,42,47,51,54,31,52,44,47,55,53,59,43,52,53,33,53,36,44,46,34,54,42,33,48,44,37,54,35
2020-09-13,59,34,56,53,57,60,55,43,31,49,54,48,57,70,63,50,44,30,38,67,57,51,54,47,55,54,47,56,61,62,59,58,65,47,58,65,45,60,41,55,49,34,60,51,49,56,47,57,58,37
2020-09-20,60,52,54,58,56,55,58,35,29,53,59,59,59,62,63,66,49,33,45,65,60,57,60,51,63,54,38,60,40,59,54,58,59,36,54,53,51,57,46,48,55,33,56,53,34,64,50,54,57,40
2020-09-27,61,42,58,49,54,49,56,48,30,49,59,45,54,59,62,46,50,35,42,67,60,49,50,48,57,57,33,49,45,57,38,56,57,44,55,54,55,55,45,52,42,31,55,52,42,61,56,52,63,13
2020-10-04,55,21,56,48,54,58,54,56,29,46,50,44,55,59,56,54,43,32,44,66,54,54,49,39,50,42,36,57,49,60,37,60,59,51,51,53,62,57,50,46,51,31,54,62,42,56,61,49,68,40
2020-10-11,57,33,53,41,54,51,56,35,29,44,38,36,49,67,48,57,49,32,32,66,53,53,47,42,51,57,30,58,40,55,43,57,50,58,49,48,51,51,54,51,35,32,48,53,13,54,54,41,50,65
2020-10-18,54,28,52,49,50,49,53,47,26,46,51,53,50,56,56,42,43,32,38,58,54,49,33,45,54,80,45,58,42,62,42,59,52,51,53,50,53,54,48,51,44,28,49,41,35,48,53,51,52,25
2020-10-25,46,41,53,32,49,49,51,47,26,52,60,42,54,55,57,49,55,26,48,55,52,45,46,40,50,39,33,51,51,50,44,59,49,47,50,50,57,54,44,46,61,30,49,44,30,55,48,48,62,36
2020-11-01,43,34,42,37,45,48,46,33,25,41,42,38,46,53,45,54,40,28,31,44,50,41,41,40,52,37,40,53,32,46,39,52,51,37,45,35,41,50,41,46,38,29,48,42,25,48,51,33,46,31
2020-11-08,57,20,49,36,45,57,59,29,27,45,60,43,53,62,51,52,51,31,49,54,48,50,50,43,56,36,38,63,43,53,48,54,48,34,51,50,49,50,48,45,43,29,51,44,33,50,50,29,59,33
2020-11-15,50,30,51,45,49,51,58,36,29,49,49,34,48,68,47,64,46,31,34,54,51,44,45,41,54,58,45,50,58,54,39,55,56,35,51,50,51,51,31,46,49,27,50,51,45,52,50,53,49,32
2020-11-22,35,31,46,34,42,44,39,33,20,33,33,40,39,41,36,38,32,22,31,49,43,37,39,30,34,43,31,39,39,46,33,42,44,48,40,34,36,45,35,37,42,22,36,29,21,38,44,39,40,19
2020-11-29,48,41,54,38,49,50,53,41,28,44,67,33,51,49,41,49,41,24,33,53,50,47,41,41,50,43,36,44,47,50,43,53,50,53,50,52,43,51,32,47,13,29,51,45,20,52,48,47,46,43
2020-12-06,55,29,50,41,55,49,51,39,25,45,53,52,51,52,44,53,40,30,38,61,50,56,47,37,55,31,27,51,36,54,37,54,47,36,45,59,55,49,36,43,40,27,50,40,24,49,47,43,53,42
2020-12-13,39,19,44,36,50,44,43,42,25,39,65,45,47,48,44,32,38,20,43,53,54,47,43,28,48,34,33,56,42,52,32,49,41,53,48,47,40,43,37,45,33,28,42,52,0,42,47,32,57,25
2020-12-20,38,31,30,24,34,31,28,18,16,27,36,27,32,34,31,30,27,23,24,38,41,32,31,30,34,33,25,37,30,37,27,40,38,24,35,32,32,37,29,29,17,20,32,29,19,29,40,20,36,22
2020-12-27,35,22,33,22,34,30,39,35,18,31,24,25,35,33,33,31,32,20,24,36,36,33,32,26,32,18,23,31,26,35,25,40,35,26,34,27,31,36,20,32,28,18,32,24,30,30,41,32,30,14
2021-01-03,35,23,40,31,41,42,41,24,20,33,31,30,37,39,30,39,34,28,22,48,45,39,36,28,40,38,24,38,30,46,28,49,44,61,42,48,42,43,21,33,39,22,39,32,29,41,43,38,44,41
2021-01-10,43,12,44,37,44,46,47,36,23,34,36,43,45,48,36,34,37,24,26,52,44,43,45,28,42,22,35,50,36,51,32,48,43,36,41,42,52,45,24,45,23,24,38,42,36,40,48,41,42,23
2021-01-17,52,35,47,37,46,43,41,47,24,42,46,41,46,50,36,43,49,27,43,48,45,42,40,32,41,42,28,43,42,48,32,45,45,62,44,45,51,45,34,39,31,25,43,50,36,44,46,28,45,27
2021-01-24,48,69,52,43,47,52,50,35,26,45,44,54,50,53,44,35,43,33,37,54,46,43,48,41,48,47,27,54,41,51,42,50,50,40,48,44,53,48,31,46,54,30,48,47,18,45,50,33,45,33
2021-01-31,53,26,50,32,52,57,51,30,28,50,61,31,55,48,51,41,46,33,53,46,52,45,48,38,48,55,32,62,40,50,42,50,55,34,50,47,53,44,35,43,58,31,51,42,29,41,46,39,60,42
2021-02-07,49,31,55,33,50,51,45,32,26,44,35,56,53,56,52,37,46,27,27,55,51,45,47,49,49,23,33,49,39,51,46,51,54,32,52,46,42,51,55,48,32,29,43,48,12,48,50,26,44,27
2021-02-14,46,59,54,29,47,45,52,45,24,44,35,39,46,47,50,53,36,21,43,48,47,44,51,35,43,39,26,50,49,51,44,46,50,45,47,48,45,51,41,45,51,26,32,45,28,48,49,43,42,37
2021-02-21,61,34,54,39,49,49,55,50,27,44,39,49,54,53,35,42,43,32,42,59,53,45,47,40,49,52,38,48,40,54,39,54,51,54,49,50,59,49,37,41,58,31,51,51,37,51,53,59,64,46
2021-02-28,50,42,53,41,52,56,60,38,27,43,30,52,53,52,46,50,47,28,42,59,54,44,43,39,55,41,34,43,70,58,39,55,57,58,49,55,44,55,43,40,46,30,49,48,23,51,51,44,51,33
2021-03-07,56,37,49,43,49,53,56,60,26,44,48,46,48,56,58,45,51,32,47,59,53,49,44,41,48,51,28,49,52,58,45,54,46,49,53,54,53,54,50,44,10,29,49,47,23,54,54,39,58,32
2021-03-14,59,49,47,33,50,52,55,43,23,43,50,42,45,49,41,49,39,28,31,56,59,49,40,37,44,47,35,49,39,48,28,52,48,37,47,44,53,48,48,46,46,24,41,49,14,44,47,42,53,28
2021-03-21,52,35,49,30,50,46,57,41,24,40,28,44,47,57,45,44,42,35,44,53,45,46,45,34,44,49,37,47,42,56,30,52,50,20,56,47,37,50,54,45,40,28,44,51,31,48,48,40,46,40
2021-03-28,53,17,51,35,43,44,47,28,25,42,41,39,44,56,50,43,39,26,25,50,54,48,38,44,43,48,38,39,37,49,37,46,49,43,47,49,38,46,43,45,5,28,44,46,27,52,46,34,54,35
2021-04-04,52,31,50,41,47,55,51,38,28,40,38,40,49,56,52,55,48,27,36,49,61,48,47,35,47,49,40,47,42,51,54,45,45,37,41,52,40,52,45,32,45,29,47,46,28,47,47,35,48,43
