Week,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
2020-09-27,65,42,65,63,60,59,53,54,32,52,74,67,59,61,60,58,51,39,46,68,58,57,48,69,66,52,51,54,52,66,48,56,64,55,60,71,59,62,42,51,63,38,63,61,34,57,61,58,56,41
2020-10-04,67,57,67,55,60,69,56,61,34,53,69,84,59,71,60,69,56,45,50,70,59,53,61,63,62,54,54,53,53,58,47,65,62,61,58,69,62,63,46,53,52,43,60,67,33,64,67,63,62,29
2020-10-11,57,52,62,51,60,63,61,55,33,49,46,65,57,68,67,61,62,47,46,74,55,59,55,60,57,52,44,56,54,56,49,62,64,40,68,68,64,63,43,55,48,38,62,60,47,58,63,42,67,42
2020-10-18,67,78,65,51,61,59,60,44,34,57,56,53,60,65,59,66,63,46,47,71,67,58,61,55,61,41,49,73,58,61,49,64,62,26,63,72,63,61,41,54,44,43,64,59,40,64,66,74,66,22
2020-10-25,70,48,62,67,58,55,52,58,34,55,68,67,56,69,67,57,56,46,35,58,62,56,55,59,64,54,41,51,57,60,42,59,61,62,62,53,54,57,50,62,24,41,61,68,50,60,67,63,71,38
2020-11-01,58,48,55,48,47,49,43,58,30,46,59,48,47,56,47,53,53,39,46,54,56,50,48,45,50,36,45,58,42,48,48,51,53,54,50,61,49,51,38,46,57,34,55,56,37,50,53,45,50,23
2020-11-08,72,25,66,56,58,60,67,56,35,62,49,44,60,66,61,57,58,43,51,66,66,61,60,59,67,41,45,62,48,58,54,56,65,48,58,70,63,62,32,57,53,39,69,72,29,59,71,65,60,0
2020-11-15,75,74,65,60,63,70,68,51,33,60,53,57,63,61,59,58,65,35,45,73,65,60,55,68,71,51,59,62,61,61,58,66,66,70,61,64,68,60,66,63,73,43,69,69,43,61,68,74,64,53
2020-11-22,55,52,54,50,50,49,50,39,27,47,71,57,48,57,47,53,56,30,49,56,58,50,42,53,55,56,39,49,57,50,42,51,54,58,58,63,52,53,45,48,48,36,51,52,37,51,59,56,54,53
2020-11-29,71,51,67,49,63,61,50,39,32,64,50,66,60,70,63,55,69,37,53,63,70,59,57,58,66,54,34,64,46,64,53,61,61,66,62,74,59,60,54,55,60,40,74,69,57,57,66,61,58,56
2020-12-06,68,47,64,54,65,67,54,53,31,60,72,58,63,66,67,64,59,38,54,71,68,62,61,50,67,62,57,70,40,68,49,59,64,71,60,83,63,64,50,60,51,40,68,76,33,64,68,57,64,50
2020-12-13,64,38,62,50,59,57,48,37,29,54,48,47,52,68,49,55,53,32,39,65,59,59,56,50,54,53,38,76,61,57,54,57,56,22,55,61,66,55,54,57,31,38,60,83,41,57,60,57,59,37
2020-12-20,51,33,43,43,47,49,45,42,22,39,42,45,46,46,41,36,43,28,54,62,49,49,46,32,49,59,41,56,53,52,38,49,46,32,45,55,44,52,32,40,9,31,44,45,22,46,57,55,49,15
2020-12-27,47,54,55,48,47,56,52,32,24,43,54,44,51,55,50,42,46,36,44,48,55,48,54,35,53,36,47,53,50,48,39,47,45,62,48,52,53,48,29,47,35,25,48,56,33,49,59,34,49,51
2021-01-03,50,32,54,40,50,50,50,37,27,46,42,59,50,57,50,51,53,28,46,56,55,58,43,40,58,56,36,52,47,51,47,53,55,38,58,62,62,55,52,49,49,31,54,62,37,54,57,41,48,53
2021-01-10,54,35,57,53,58,57,47,55,30,51,49,62,58,62,60,41,54,33,39,61,57,55,55,43,56,38,40,46,38,56,46,56,55,36,57,72,67,58,48,49,47,35,56,53,35,52,59,52,61,30
2021-01-17,66,52,54,46,56,59,46,43,28,53,47,59,55,59,64,50,47,34,26,66,58,54,55,40,57,44,50,62,37,49,46,56,55,43,59,70,63,54,43,50,55,39,59,59,24,59,61,62,57,27
